[Thu Sep 27 15:30:11.197461 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   1. {main}() /var/www/html/bookshelf/public/index.php:0, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197470 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   2. App\\Http\\Kernel->handle() /var/www/html/bookshelf/public/index.php:55, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197476 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   3. App\\Http\\Kernel->sendRequestThroughRouter() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197483 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   4. Illuminate\\Routing\\Pipeline->then() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197490 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197509 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197514 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   7. App\\Http\\Middleware\\CheckForMaintenanceMode->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197520 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:62, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197526 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP   9. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197531 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197536 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197542 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  12. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197547 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  13. App\\Http\\Middleware\\TrimStrings->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197552 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:31, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197557 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  15. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197562 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  16. Illuminate\\Foundation\\Http\\Middleware\\ConvertEmptyStringsToNull->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197567 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  17. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:31, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197572 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  18. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197580 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  19. App\\Http\\Middleware\\TrustProxies->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197585 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  20. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/fideloper/proxy/src/TrustProxies.php:57, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197590 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  21. App\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197595 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  22. Illuminate\\Routing\\Router->dispatch() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197600 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  23. Illuminate\\Routing\\Router->dispatchToRoute() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:611, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197605 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  24. Illuminate\\Routing\\Router->runRoute() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:622, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197610 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  25. Illuminate\\Routing\\Router->runRouteWithinStack() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:656, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197615 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  26. Illuminate\\Routing\\Router->gatherRouteMiddleware() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:672, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197620 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  27. Illuminate\\Routing\\Route->gatherMiddleware() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:692, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197625 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  28. Illuminate\\Routing\\Route->controllerMiddleware() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Route.php:757, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197629 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  29. Illuminate\\Routing\\Route->getController() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Route.php:796, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197634 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  30. Illuminate\\Foundation\\Application->make() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Route.php:226, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197639 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  31. Illuminate\\Foundation\\Application->make() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:733, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197644 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  32. Illuminate\\Foundation\\Application->resolve() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:601, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197649 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  33. Illuminate\\Foundation\\Application->build() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:646, referer: http://dev.bookshelf.com/admin/accounts
